Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
Single Again,Single Again,Harmonize,2023-02-19,HKC371724447,0.5831498899339604,0.00906515580736544,,3.387585515361853e-06,1.1435392890920421e-08,,0.0019445834818679446,0.0036892592295754943,0.044384220148816315,0.0006964259231058036,0.0009883154206759455,,,,,,,,,,,,False,"['bongo flava', 'bongo piano', 'singeli', 'afrobeats', 'afrobeat', 'afropop', 'amapiano']",,0.001466449451271945,0.002192842576340649,3.387585515361853e-06,1.1435392890920421e-08
July,July,Noah Cyrus,2019-07-31,USQX91901092,0.5855513307984791,0.00906515580736544,0.22839575752216548,0.1957414662486386,0.13249429289082246,0.831578947368421,0.0075323365549651335,0.02472387206951744,0.004127039723241019,0.00415584011239276,0.0014947512968575371,0.0006684091645811186,0.07342657342657342,0.011614851980807847,0.03607157954065098,0.06497622820919176,0.005364865971508396,0.07655502392344497,0.08199573226332377,0.01753307488509493,,0.00499440063438882,False,[],0.08951948032673701,0.0045135439259113355,0.0144398560909551,0.08564647333858874,0.04617585600897065
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,2017-05-26,USSD11700143,0.5823494096457875,0.00906515580736544,0.10124602929120487,0.061386437123872144,0.05910598563418095,0.6421052631578947,0.06618578214944278,0.06275775280939266,0.009069440770849434,0.001138328840753837,0.001782062907264869,0.022243410999315344,0.055944055944055944,0.00802166710728368,0.00817246723967874,0.0364500792393027,0.005793163093232646,0.1339712918660287,0.05726842320978247,0.008116096444079533,,0.015219422509590798,False,['latin pop'],0.04367714671198744,0.033983922528353826,0.03194804082507325,0.0591735921234678,0.02904751990890965
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,2022-01-24,USDXS2200425,0.5861516910146088,0.00906515580736544,0.04883635429286411,0.037903694331383776,0.028118777276104127,0.6526315789473683,0.016290119746436377,0.02025937442917523,0.005750559574605118,0.0004925541770298439,0.0008598020864195265,2.537824890708355e-08,0.005827505827505828,1.0687306292573447e-05,,,,0.02392344497607655,0.04910842606199033,0.003068102944786315,,0.0020156687967256256,False,"['corrido', 'corridos bÃ©licos', 'corridos tumbados', 'sad sierreÃ±o', 'sierreÃ±o', 'mÃºsica mexicana']",0.032651822553715674,0.008574960916427952,0.010375964303102538,0.01768068701993812,0.014059401327176518
Drag Me Down,Drag Me Down,One Direction,2015-07-31,GBHMU1500070,0.5843506103662198,0.00906515580736544,0.262838083633036,0.18663563638334593,0.23665081691988205,0.7894736842105262,0.0688829146658863,0.16234115965818893,0.003262517558566843,0.0010205904217962805,0.0007541137714198333,0.07525735741668009,0.10139860139860139,0.009692261827754371,0.012399605467098776,0.06973058637083994,0.012085269614417856,0.10047846889952153,,,,0.019227661258303677,False,[],0.09497665030929638,0.03481851421865306,0.0816808750399926,0.1145608232630772,0.10799781465032667
Tu Turrito,Tu Turrito,Rei,2022-05-04,UYB282208022,0.5837502501500901,0.00906515580736544,0.043867608586010826,0.04534113833036072,0.02390060771222794,0.5894736842105263,0.017870271196699688,0.021707718653389087,0.003594382368167421,0.0013163333630869618,0.0015657208460487274,0.00010395246265706213,0.008158508158508158,0.0015412220653500657,,0.011093502377179081,0.0011554872500637943,0.004784688995215311,,,,0.0008518409888449368,False,['latin pop'],0.022704415325680447,0.009717996021374208,0.011512026008238025,0.017344459465315817,0.008386682474982933
greedy,greedy (Official Video),Tate McRae,2023-09-14,USRV82300987,0.582749649789874,0.00906515580736544,0.2933808653893206,,,,,,,,,,,,,,,,,,,,True,[],0.2933808653893206,,,,
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,2022-06-03,RUA1D2242027,0.584550730438263,0.00906515580736544,0.004923600206327285,0.012927026326620832,0.0018924202987326386,0.5263157894736842,0.023027374497529708,0.01545164770981452,0.0007442890616384396,0.00014197636625329905,0.00032117716253044095,0.003825588436530438,0.022144522144522148,0.0007115496031634426,,,,,,,,0.005373158902189664,False,[],0.002817574904745364,0.011674275830030074,0.0077968120380339095,0.01753577423557149,0.002859004367631538
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,QMJMT2002693,0.5847508505103062,0.00906515580736544,0.14240810978506588,0.23181755819448466,0.11941668609762274,0.7157894736842105,1.7101462897706963e-05,6.542969818854582e-05,0.004242843921744613,0.006525626964680774,0.005126709509488765,,0.06526806526806526,0.0013696626748640182,0.2289699873185853,0.03328050713153724,0.0004985077238612869,0.08133971291866028,0.02885456703153457,0.011527010098103115,0.01662960782157289,0.01479212345500372,True,[],0.08364638692632453,0.0025719054861932356,0.00329552833143466,0.0846465707221701,0.05995759691074201
Get Off The Wall,Get Off The Wall,Philly Goats,2023-06-02,USUM72307453,0.5853512107264359,0.00906515580736544,0.0019781553183002925,0.004700274902564572,0.006951156040651191,0.4421052631578947,0.0005079105012555453,0.0018033689441861402,0.032637529898310716,0.00258139214479834,0.002160471509630373,,0.0011655011655011655,0.00015524718614475113,0.001409046075806679,,,0.00956937799043062,0.00031939759590215696,0.0002936110241152521,,0.0007739091173610672,True,"['jersey club', 'philly club']",0.0009654615440384699,0.001334191005442959,0.00219238054449224,0.003932191270652902,0.006951156040651191
It'll Be Okay,It'll Be Okay,Shawn Mendes,2021-12-01,USUM72122321,0.5851510906543926,0.00906515580736544,0.0804998321266073,0.10351783817842752,0.11054207410193295,0.6736842105263158,0.007014442874179491,0.03783481525635041,0.0030458975068973775,0.00704756886524073,0.006495348168616593,0.19521892787238704,0.06643356643356643,0.028141364937760503,0.013526842327744119,0.05546751188589541,0.02462634795175196,0.10047846889952153,0.014053947204875135,0.001010445146054291,,0.006812898929947042,False,[],0.034055496649246765,0.006754895521398041,0.02244119206079557,0.06538156610869303,0.11012911664202397
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,2022-01-14,ES5152101308,0.5849509705823495,0.00906515580736544,0.0661518334877882,0.10683597819072446,0.03406583339677753,0.6421052631578947,0.010356328227142862,0.01601615338403137,0.003430396350358889,0.0035979603675782112,0.0038874895608865903,0.032625524089802,0.013986013986013986,0.0022713338320742935,,0.011093502377179081,0.0002585800042653356,0.10047846889952153,,,,0.003170206110031613,True,[],0.03421158365993125,0.007121908894014726,0.009807056875804791,0.05809849086335976,0.02231664583028162
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,2011-01-01,USAT21101071,0.5833500100060036,0.00906515580736544,0.30797751427783826,0.4066457652640369,0.19550508020569207,0.7684210526315789,0.06996147219539439,0.18204870672111126,0.00955456898728599,0.005378713729339097,0.0045282389196472095,0.1616695836684316,0.04895104895104895,0.03817787052609671,0.005777088910807384,0.039619651347068144,0.0021749518323940144,0.028708133971291867,,,,0.06397331740840043,False,[],0.11731082457158078,0.0372448555575208,0.09371371022522518,0.13098114988336146,0.1197832052355059
Number 2,Number 2 / Never Last,Lil Tecca,2024-05-03,USUM72404634,0.5829497698619172,0.00906515580736544,0.004844528488927045,0.005425218202852008,0.08570722909669548,,,,,,,,0.011655011655011654,1.7999673755913174e-05,0.00042271382274200367,0.0,0.006148946605480257,0.02392344497607655,0.00022336337122246,2.1690183763469076e-05,0.0022558691616646883,,True,"['melodic rap', 'rap']",0.0015528949036624222,,,0.008205073003540736,0.045928087851087866
Tuesday (feat. Drake),Tuesday (feat. Drake),ILOVEMAKONNEN,2014-09-01,USWB11402508,0.5825495297178307,0.00906515580736544,0.05673082875138174,0.08629365962557017,0.03738794463270934,0.5789473684210525,0.0006799674787412344,0.0017204624391966804,0.0015562471225232428,0.000647783036837474,0.0004582658266269547,1.0345546051765477e-05,0.005827505827505828,1.6312204341296314e-05,,0.006339144215530904,4.15786189960469e-05,0.06698564593301436,0.27044746390579405,0.1275292870383694,0.3312598326782709,0.007028659519670875,True,[],0.164613609384947,0.0005691166526840945,0.0011841227380170773,0.05859504852799813,0.012479956265919053
Killshot,Killshot,Eminem,2018-09-19,USUM71814876,0.5841504902941765,0.00906515580736544,0.09715596522074761,0.1147527655401251,0.047087917545694205,0.6842105263157894,0.036520032589727594,0.12825414852692343,0.0005353846278644435,0.00044032586869987254,0.0005139358490162732,0.003398248218575773,0.006993006993006992,0.0002784324534117819,,0.004754358161648178,0.006023339340309564,0.04784688995215311,0.12177286448385143,0.029097910547566046,,0.002309729783917928,True,"['rap', 'hip hop']",0.07306908738600361,0.018516984219371934,0.06434723719781166,0.04068898623889989,0.018836501701526513
Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,MC Caverinha,2023-05-11,BRRGE2300377,0.5835501300780469,0.00906515580736544,0.03349792168428457,0.03968556431246411,0.026773712058095395,0.6526315789473683,0.0066311570407567326,0.016648576272556274,0.0009440326560380571,0.0005244347625358738,0.0005386833034502866,0.0006880926716131765,0.005827505827505828,0.00025199543258278446,,0.020602218700475437,0.008279062412100592,0.0430622009569378,,,,0.0003417145817933914,False,"['brazilian trap', 'trap', 'trap funk', 'brazilian hip hop']",0.01687495855843368,0.0035849201721035095,0.008586505517546075,0.027294372449345794,0.011913622380603055
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,2022-05-07,INY092200047,0.5891534920952572,0.008923512747875357,1.2341562364097639e-06,0.0,4.1929773933374876e-08,,0.030076367236472775,0.04393749472205249,,,,0.0001718016912391834,,,,,,,,,,,False,"['bollywood', 'desi', 'hindi pop']",1.2341562364097639e-06,0.030076367236472775,0.04393749472205249,0.0,8.592181050655839e-05
Fuck Niggaz,Fuck Niggaz,YoungBoy Never Broke Again,2024-02-06,USUG12400657,0.5875525315189114,0.008923512747875357,0.0026608852230054535,0.0063381724992420275,0.013609501222735102,,0.0005006892328260463,0.0033305915021249644,,,,0.2577795920814432,0.0,3.937428634106007e-06,0.0,,,,0.0017923817363696883,0.0002325081893669429,0.013972873747687974,0.0007708244183788694,True,[],0.003686015627139444,0.0005006892328260463,0.0033305915021249644,0.0021902268962029903,0.13569454665208913
