Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
Casanova,Casanova,Soolking,2023-07-06,FRPZ92324651,-1.2411243730195332,0.45812534447827963,-0.4753097130721818,-0.17886943072091566,-0.3554430940376387,0.5251024834738528,-0.28141818661556656,-0.3852783357640515,,-0.18240051430956414,-0.17306657930438382,0.18344567885981508,-0.27377357004555747,-0.28915973517358007,,0.1416887445643685,1.4443146491223389,0.25594616150240745,,,,-0.1775381637968437,False,"['french rap', 'pop urbaine', 'french r&b', 'moroccan pop']",-0.38223472412288095,-0.22724238295997518,-0.2838394250368078,-0.013752023674924285,0.42410574464817175
Holanda,Holanda,Jhayco,2023-07-28,USUM72310520,-1.2396123538048645,0.45812534447827963,-0.23628597064448711,-0.11694901634680581,0.2787051383739836,0.5868907360239688,-0.42547793600067063,-0.5366833414176033,-0.2728415721443815,0.04256023617415241,0.059424794007661444,-0.46719932338878883,-0.09221795613770434,-0.2010064203400608,-0.4477696095487049,-0.19000356463181411,-0.21384450052942747,0.17898211514342582,-0.5062100587198943,-0.33349350793301835,,-0.31996263850718926,True,"['reggaeton', 'trap latino', 'urbano latino']",-0.3478180148132868,-0.1830265709965046,-0.24706155262172547,-0.11073638598118336,-0.1341128951814109
nï¿½ï¿½e,nï¿½ï¿½e,21 Savage,2024-01-10,USSM12309168,-1.23885634419753,0.45553060913265153,-0.5519924479845155,-0.3633090301213636,0.9673886067744597,,-0.5520302632149019,-0.5865032408360704,,,,-0.33233592823721064,-0.42739755104451016,-0.2862199882664933,-0.4567847044513394,-0.3742770697408045,-0.3386185326288506,-0.013428000754028268,-0.48842969138404974,-0.333470503083229,,-0.34150739510876726,True,[],-0.4458567080215995,-0.5520302632149019,-0.5865032408360704,-0.3023764309487871,0.09881138196946614
Faded,Faded,Alan Walker,2015-12-04,NOG841549010,-1.2381003345901955,0.45553060913265153,2.779530909221563,2.2845198064307453,1.3308416326939565,0.710467241124201,0.05285033154528436,0.5013670856277073,4.22227958397797,0.28559604272120975,0.5987913356569595,-0.4776190654949363,0.675901948857059,0.41035929614836836,-0.4567847044513394,1.3763212287946038,-0.056905879374903115,0.9101405555537514,0.221178824911608,0.668114647046063,-0.10723693353878222,4.023220181152985,False,[],0.5694094784582836,0.32582083360112196,0.3934815641744585,1.1829996373364444,0.2654388959413723
Cough,Cough,Kizz Daniel,2022-10-13,USUYG1448153,-1.2365883153755266,0.4529358737870235,-0.6710523601050081,-0.48511115312838304,-0.63415729642591,-0.09278004202730802,-0.2719447849036312,-0.403567708789417,0.8890890267663677,-0.07526570300335418,0.03841112757475115,-0.40960502877877575,-0.48326081686231115,-0.31829919454249594,-0.4567847044513394,-0.48484117280619865,-0.24090931434277346,-0.282802163010464,-0.4802831578892199,-0.3294599909366167,,0.18786695649098464,True,"['afrobeats', 'afrobeat', 'afropop', 'afropiano', 'hiplife', 'afro r&b']",-0.4816048542470158,-0.11676682866444003,-0.23941670589638558,-0.4130950593487947,-0.42822387984915306
Afraid To Feel,Afraid To Feel,LF SYSTEM,2022-05-02,GBAHT2200492,-1.2358323057681924,0.4529358737870235,-0.17122290894775102,1.2207934508704243,1.261178932444817,0.6486789885740849,-0.5073293695067368,-0.5548494862406909,-0.3040613260121218,0.05379724204725488,0.10302897235212068,0.6005291334097537,0.8015942969471113,0.45981115568912306,0.20131722344097913,0.418099002227854,0.07745674282054607,0.3713922310408799,-0.5099533014738092,-0.3316071102502906,-0.06335302241639106,0.14825324279890817,False,[],-0.01668017074156982,-0.20215019857730807,-0.250526122096718,0.4960543741671958,0.6463882695583724
Wow.,Wow.,Post Malone,2018-12-24,USUM71822626,-1.235076296160858,0.4529358737870235,2.2906053632212298,2.0028409731948424,1.130838775832657,0.6486789885740849,0.32500462229244553,0.6492783758007753,-0.16707160161261592,-0.11132934459398194,-0.11620026520175783,-0.0884266848014178,1.1507397083083672,1.1196436037654003,2.200865272845311,0.17854344558616658,-0.35419183414482064,0.025054022425462553,1.8201809497363444,0.8233245344332646,,0.6914721641003413,True,[],1.8578237973920715,0.10440217854534385,0.2689745156033967,0.8361005367896206,0.2294067522954728
Radioactive,Hear Me EP,Imagine Dragons,2012-01-01,USUM71201074,-1.237344324982861,0.4529358737870235,2.579897698235852,2.489135562649279,1.5372660196736827,0.710467241124201,2.0457549024814417,2.1542158591802116,-0.24720721776828805,-0.10191469762818742,-0.08850599554735798,-0.19013328005137464,0.787628480492661,0.8736743545713855,0.7079655569690381,1.5790220844144933,-0.1197422551018736,0.8331765091947697,6.091141404725949,7.592662618901891,,-0.4161593275154296,False,[],2.563169753625556,0.9786244534670419,1.026150580776012,2.6563250511306187,0.4091301615068115
RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,USSM11912430,-1.233564276946189,0.4503411384413956,0.9546559709892896,1.357752296560298,0.8062065365996364,0.09258471562304021,1.1198631653771556,1.005216941985741,-0.299612418937935,-0.16431912612033975,-0.14518600448367655,-0.16900282839073913,2.0445519613931826,-0.42724965504849066,-0.2566495976128535,2.1134152492305653,0.051893732648442846,0.7562124628357881,0.39408656647075013,-0.15550881925434737,,1.4347078041289327,True,[],0.1662108211996739,0.4873385804467395,0.4204489079327007,1.2232846301530975,0.22969914695244673
hot girl bummer,hot girl bummer,blackbear,2019-08-23,USUG11902959,-1.2343202865535234,0.4503411384413956,1.518792474982572,1.9597188317585583,0.24583811967844055,0.4015259783736206,-0.06582642364524097,0.5680522667798439,-0.25020551001629704,-0.0580405852227221,-0.09899227074478545,-0.06892421645764152,0.913320828582713,-0.4251152111505261,-0.1358473259175512,-0.06101211105552087,-0.18058879022982716,-0.4752122789079181,0.8675701061703349,0.6309541463529785,0.7465735473396585,1.201849773368204,True,[],0.5143947182848977,-0.08240934719501321,0.25500584077856087,0.5935538833461622,-0.0012249623363427091
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,GBUM71807386,-1.2305402385168513,0.4477464030957676,1.6748798724055756,0.7611285764079416,1.015949356464249,0.4633142309237367,0.8934033404234274,0.38908463930300513,-0.296064105314557,-0.19272391320186766,-0.18008474677293143,2.786447302089963,1.7512698158497277,3.553988597107741,0.48078516542264865,0.8050733629567338,-0.042056616550178436,1.179514717810187,1.026716301165226,0.06828235949657718,,1.1319356403904002,False,['soft pop'],1.6840924840252978,0.356659296825248,0.09818036305056874,0.9130537665042334,1.2534466806680111
Heartbreak Anniversary,HEARTBREAK ANNIVERSARY,Giveon,2020-02-21,USSM12000998,-1.2290282193021824,0.4477464030957676,1.3184248995426182,1.827990320797833,1.3430917450585724,0.710467241124201,-0.3486167148624869,-0.3137683132856233,0.3642994212522962,0.5715338739359578,0.35908737495761683,-0.513031892749268,1.9048937968486803,1.2099157255452506,-0.004226940339087477,0.4733810537605511,-0.005215873958456221,0.6792484164768064,-0.04805806257046252,-0.06399936093389239,0.4638267605111415,0.7343525033013772,False,['r&b'],0.587976476537892,0.005235330047564962,0.12888278032516723,0.9643028453899957,0.2749479927836161
Toxic,Faded,BoyWithUke,2021-09-10,TCAFS2101442,-1.2312962481241858,0.4477464030957676,0.4506511108093526,1.204793125811901,-0.22288681959811651,0.33973772582350453,-0.05229702867529876,0.971092309532319,-0.123342240216473,0.32345994899306607,0.2766273673352767,1.30645477357715,-0.42739755104451016,0.04918480579498279,-0.1917409143138851,-0.09786681207731894,-0.21207209656923443,-0.39824823254893643,-0.4484138770593313,-0.1336618802377155,,0.5056529444481959,False,[],-0.03507971869222025,0.11216516932998898,0.6472761292626925,0.02952372998068397,0.2904986191365997
Tennessee Whiskey,Tennessee Whiskey,Chris Stapleton,2015-04-28,USUM71418088,-1.2320522577315203,0.4477464030957676,0.9411243721066596,1.4459649849760938,0.42697727702473165,0.8340437462244331,1.069483105978298,0.80900280913179,-0.32585290260334043,-0.16601856793192601,-0.15607367348496134,-0.2931623920972633,0.8714233792193624,-0.3187213922365988,-0.283694882320757,-0.15314886361001606,-0.3598519376977494,0.3329102078613891,7.084003427226238,4.616088109505985,,0.4206996478832856,False,"['country', 'outlaw country']",1.8556778811938854,0.45670471624666836,0.321492120599932,1.4226475635905629,-0.07534568425676036
Up,Up (Instrumental),Cardi B,2021-02-04,USAT22100061,-1.2297842289095169,0.4477464030957676,0.37060710525919144,0.5424246605157349,0.362350810066891,0.09258471562304021,0.13401507442269298,0.7264357769698166,0.7503624143155292,1.4065195917301572,0.9779105118690297,-0.4145681791675222,1.653509100668576,-0.31271680280935776,1.1028267137044292,0.5102357547823492,-0.3038795837826549,0.563802346938334,0.3704238711584814,0.0645210665560163,,0.10669088198969433,True,[],0.3827852218281861,0.5559627931458613,1.0664776843499868,0.6668985858922021,-0.1186989842944287
UN PREVIEW,UN PREVIEW,Bad Bunny,2023-09-25,QMFME2329236,-1.2328082673388545,0.4477464030957676,-0.36021178791683867,-0.19751304322320212,0.11344092141940275,,-0.47142750773596587,-0.39458337134206584,-0.3786291531892825,-0.18836176788940875,-0.18095838767646238,-0.49832567286700835,-0.31567101940890824,-0.24360147658955197,0.22295345120730195,-0.134721513099117,0.12732118059667352,-0.513694302087409,-0.45416476974539877,-0.32948299578640605,-0.4106968360064794,-0.3270392782036165,True,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",-0.24914428381019338,-0.3261929477062141,-0.2914725696157373,-0.2982165747210085,-0.08585452361697736
Prada Dem (feat. Offset),Prada Dem (feat. Offset),Gunna,2024-03-15,USAT22401724,-1.2260041808728448,0.4425569324045115,-0.7244143549934374,-0.6842716139842563,0.6846591288936529,,-0.5587473144594662,-0.5922163702635881,-0.36347592095648185,-0.2028926361401324,-0.19588550718783582,-0.5067682754916453,-0.245841937136657,-0.27686127271387934,0.19590816649939843,-0.5216958738279968,0.014110108280087234,-0.16735609347199154,-0.48216932162606135,-0.3349044720534326,-0.39436570739618604,-0.3789551724590179,True,['melodic rap'],-0.33638049804603315,-0.377316410823651,-0.39755450320186025,-0.3908139980948669,0.06400032056069828
